Estado,Municipio,Bairro,Produto,Data da Coleta,Valor de Venda,Unidade de Medida,5%,8%,10%
SP,HORTOLANDIA,VILA REAL SANTISTA,GASOLINA,2022-04-04,6.699,R$ / litro,0.33495,0.53592,0.6699
SP,HORTOLANDIA,VILA REAL,GASOLINA,2022-04-04,6.389,R$ / litro,0.31945,0.51112,0.6389
SP,HORTOLANDIA,CHAC. FAZ. DO COELHO,GASOLINA,2022-04-04,6.699,R$ / litro,0.33495,0.53592,0.6699
SP,HORTOLANDIA,JARDIM SANTA RITA,GASOLINA,2022-04-04,6.799,R$ / litro,0.33995000000000003,0.5439200000000001,0.6799000000000001
SP,HORTOLANDIA,REMANSO CAMPINEIRO,GASOLINA,2022-04-04,6.799,R$ / litro,0.33995000000000003,0.5439200000000001,0.6799000000000001
SP,HORTOLANDIA,JD STA IZABEL,GASOLINA,2022-04-04,6.699,R$ / litro,0.33495,0.53592,0.6699
SP,HORTOLANDIA,NUCLEO SANTA IZABEL,GASOLINA,2022-04-04,6.659,R$ / litro,0.33295,0.53272,0.6659
SP,IBITINGA,JARDIM MARGARIDA,GASOLINA,2022-06-04,7.299,R$ / litro,0.36495000000000005,0.58392,0.7299000000000001
SP,IBITINGA,,GASOLINA,2022-06-04,6.888,R$ / litro,0.34440000000000004,0.55104,0.6888000000000001
SP,IBITINGA,JARDIM DAS PAINEIRAS II,GASOLINA,2022-06-04,6.888,R$ / litro,0.34440000000000004,0.55104,0.6888000000000001
SP,IBITINGA,CENTRO,GASOLINA,2022-06-04,6.999,R$ / litro,0.34995,0.55992,0.6999
SP,IBITINGA,NAÇÕES UNIDAS,GASOLINA,2022-06-04,6.99,R$ / litro,0.34950000000000003,0.5592,0.6990000000000001
SP,ITANHAEM,NOVA ITANHAEM,GASOLINA,2022-04-04,7.399,R$ / litro,0.36995,0.59192,0.7399
SP,ITANHAEM,CIDADE DE ANCHIETA,GASOLINA,2022-04-04,7.346,R$ / litro,0.3673,0.58768,0.7346
SP,ITANHAEM,CENTRO,GASOLINA,2022-04-04,7.429,R$ / litro,0.37145000000000006,0.5943200000000001,0.7429000000000001
SP,ITANHAEM,CIDADE DE ANCHIETA,GASOLINA,2022-04-04,7.649,R$ / litro,0.38245,0.61192,0.7649
SP,ITAPETININGA,CENTRO,GASOLINA,2022-07-04,6.499,R$ / litro,0.32495,0.5199199999999999,0.6499
SP,ITAPETININGA,CENTRO,GASOLINA,2022-07-04,6.549,R$ / litro,0.32745,0.52392,0.6549
SP,ITAPETININGA,PARQUE DA LAGOA,GASOLINA,2022-07-04,6.999,R$ / litro,0.34995,0.55992,0.6999
SP,ITAPETININGA,JARDIM ITALIA,GASOLINA,2022-06-04,6.549,R$ / litro,0.32745,0.52392,0.6549
SP,ITAPETININGA,CHAPADA GRANDE,GASOLINA,2022-06-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,ITAPETININGA,CENTRO,GASOLINA,2022-06-04,6.999,R$ / litro,0.34995,0.55992,0.6999
SP,ITAPETININGA,CENTRO,GASOLINA,2022-07-04,7.199,R$ / litro,0.35995,0.57592,0.7199
SP,ITAPETININGA,CHAPADA GRANDE,GASOLINA,2022-06-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,ITAPETININGA,CENTRO,GASOLINA,2022-06-04,6.999,R$ / litro,0.34995,0.55992,0.6999
SP,ITAPETININGA,CENTRO,GASOLINA,2022-07-04,6.699,R$ / litro,0.33495,0.53592,0.6699
SP,JABOTICABAL,CENTRO,GASOLINA,2022-07-04,6.92,R$ / litro,0.34600000000000003,0.5536,0.6920000000000001
SP,JABOTICABAL,CENTRO,GASOLINA,2022-07-04,7.299,R$ / litro,0.36495000000000005,0.58392,0.7299000000000001
SP,JABOTICABAL,CENTRO,GASOLINA,2022-07-04,7.299,R$ / litro,0.36495000000000005,0.58392,0.7299000000000001
SP,JABOTICABAL,CENTRO,GASOLINA,2022-05-04,7.299,R$ / litro,0.36495000000000005,0.58392,0.7299000000000001
SP,JABOTICABAL,NOVA JABOTICABAL,GASOLINA,2022-07-04,7.299,R$ / litro,0.36495000000000005,0.58392,0.7299000000000001
SP,JABOTICABAL,CENTRO,GASOLINA,2022-07-04,6.89,R$ / litro,0.34450000000000003,0.5512,0.6890000000000001
SP,JALES,SANTO EXPEDITO,GASOLINA,2022-06-04,7.379,R$ / litro,0.36895,0.59032,0.7379
SP,JALES,CENTRO,GASOLINA,2022-06-04,7.379,R$ / litro,0.36895,0.59032,0.7379
SP,JALES,JARDIM SANTO EXPEDITO,GASOLINA,2022-06-04,7.399,R$ / litro,0.36995,0.59192,0.7399
SP,JALES,LOTEAMENTO AVENIDA,GASOLINA,2022-06-04,7.359,R$ / litro,0.36795,0.58872,0.7359
SP,JALES,JARDIM SAMAMBAIA,GASOLINA,2022-06-04,7.399,R$ / litro,0.36995,0.59192,0.7399
SP,JAU,JD FERREIRA DIAS,GASOLINA,2022-06-04,6.999,R$ / litro,0.34995,0.55992,0.6999
SP,JAU,CENTRO,GASOLINA,2022-06-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,JAU,JD OLIMPIA,GASOLINA,2022-06-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,JAU,JARDIM AMERICA,GASOLINA,2022-06-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,JOSE BONIFACIO,CENTRO,GASOLINA,2022-05-04,6.799,R$ / litro,0.33995000000000003,0.5439200000000001,0.6799000000000001
SP,JOSE BONIFACIO,CENTRO,GASOLINA,2022-05-04,6.999,R$ / litro,0.34995,0.55992,0.6999
SP,JOSE BONIFACIO,CENTRO,GASOLINA,2022-05-04,6.75,R$ / litro,0.3375,0.54,0.675
